Carimbo de data/hora,"Baseado nisso, o que mais gostaria de ver na VII SESCOMP?",O que você quer ver?,"Além da indústria, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além da pesquisa, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além das atividades culturais, gostaria de conhecer alguma outra área?","Caso você também se interesse por assuntos diversos, separamos alguns:","Quais personalidades e influentes da área, regionais ou nacionais, você gostaria de ver na VII SESCOMP?",Quais atividades além das palestras e minicursos você gostaria que tivesse na SESCOMP?
20/11/2023 11:56:24,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,,,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Interação Humano-Computador, Compiladores",Atividades Culturais!,"Hackathon, Escape Room, Competição de Cosplay, Maratona de Programação, Shows de arte, Exposição de arte",Não,"Entretenimento e Conteúdo digital, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro",,
20/11/2023 11:59:33,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Machine Learning, Metaverso",Atividades Culturais!,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Qualidade de Software, Matemática Computacional",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Escape Room, Maratona de Programação, Competição de Just Dance",Não,"Saúde Mental, Jogos e Esportes, Guia de Carreira, Mercado Financeiro",,
20/11/2023 12:08:15,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Inteligência Artificial, Blockchain, Computação em Nuvem, Machine Learning, Casa Inteligentes, Empreendedorismo e Inovação, UX e UI, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Interação Humano-Computador, Arquitetura de Software, Matemática Computacional",Não,,,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, O futuro da Tecnologia","Fabio Akita, Gustavo Guanabara, Erick Wendell",
20/11/2023 12:13:27,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack",Atividades Culturais!,"Algoritmos em Grafos, Linguagens Formais e Autômatos",Atividades relacionadas ao mercado de trabalho.,"Jogos de Tabuleiro, Maratona de Programação",Não,"Saúde Mental, Tecnologia de Bem-estar",,
20/11/2023 12:13:35,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Inteligência Artificial, Blockchain, Cíber Segurança, Tecnologia na Educação, Machine Learning, LGPD, UX e UI, QA (Quality Assurance), Gestão de projetos, Ética na computação, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Computação Gráfica, Gerência de Projetos de Software, Verificação e Validação, Compiladores, Sistemas Multiagentes",Não,,,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo","Afredo soares, Marcelo paz, semenzaro, Carol paiffer, caito maia.",Estrutura de currículo no LinkedIn Canva 
20/11/2023 12:14:00,Atividades relacionadas ao mercado de trabalho.,"Computação em Nuvem, Cíber Segurança, Imagem Digital, LGPD, Robótica, UX e UI, QA (Quality Assurance), Desenvolvimento Front-end, DevOps, Testes Automatizados, Documentação de Software",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Computação Gráfica, Sistemas Operacionais, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Sistemas Distribuídos",Não,,,"Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia",Mano Deyvin,Desenvolvimento Android
20/11/2023 12:15:15,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação em Nuvem, Cíber Segurança, UX e UI, Ciência de Dados, Desenvolvimento Full-Stack, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos, Interação Humano-Computador",Não,Jogos eletrônicos,Atividades relacionadas ao mercado de trabalho.,,,
20/11/2023 12:15:25,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Imagem Digital, Drones, Machine Learning, Computação Quântica, Robótica, Cidades inteligentes, Tecnologia Espacial, Ciência de Dados",Atividades Culturais!,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Gerência de Projetos de Software, Compiladores, Sistemas Distribuídos, Matemática Computacional, Sistemas Multiagentes",Não,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Maratona de Programação, Competição de Just Dance, Experiência de Realidade Virtual, Sessão de Forró",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, O futuro da Tecnologia",,
20/11/2023 12:16:56,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Imagem Digital, Drones, Tecnologia na Educação, Varejo de alta tecnologia/comércio eletrônico, Computação Quântica, Cidades inteligentes, Tecnologia Espacial, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metodologias Ágeis, Metaverso",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Manutenção de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Sistemas Multiagentes",Não,,,"Entretenimento e Conteúdo digital, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",mark zuckerberg,competições em geral
20/11/2023 12:19:32,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Machine Learning, Computação Quântica, Robótica, Casa Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, UX e UI, Ciência de Dados, Desenvolvimento Full-Stack, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Matemática Computacional, Sistemas Multiagentes",Atividades Culturais!,"Hackathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Maratona de Programação, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Contação de Histórias, Apresentação de literatura e poesia",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
